session_number,batch_size,hl1_units,hl2_units,learning_rate,min_train_loss,best_train_row,min_validation_loss,best_validation_row
9,64,32,16,0.0001,0.0010751838563010097,2,0.0010982466628775,2
11,128,32,16,0.01,0.001220049918629229,2,0.0012827786849811673,1
30,512,16,32,0.0001,0.001289211679250002,2,0.0014707333175465465,2
33,512,16,64,0.0001,0.001242444384843111,2,0.0012869902420789003,2
1,32,16,16,0.001,0.0010492488509044051,2,0.0011384361423552036,2
29,512,16,16,0.01,0.0011077227536588907,2,0.0011453762417659163,1
6,32,16,64,0.0001,0.0010284048039466143,2,0.0011106067104265094,2
21,32,64,32,0.0001,0.0009167368989437819,2,0.0010908301919698715,2
10,64,32,16,0.001,0.0009760430548340082,2,0.001045295037329197,1
2,64,16,16,0.01,0.0012954006670042872,2,0.0011911224573850632,2
35,512,16,64,0.01,0.0010138059733435512,2,0.0010373161640018225,2
0,128,16,16,0.0001,0.0012377038365229964,2,0.0012757948134094477,2
20,32,64,16,0.01,0.0014126562746241689,2,0.0013285778695717454,2
9,32,32,16,0.0001,0.0010389311937615275,2,0.0010742611484602094,2
13,64,32,32,0.001,0.0009173745638690889,2,0.0009885670151561499,2
48,512,64,32,0.0001,0.001101666479371488,2,0.001176767167635262,2
13,128,32,32,0.001,0.0009473455138504505,2,0.0010348065989091992,2
52,512,64,64,0.001,0.0008622886380180717,2,0.0009698056383058429,1
26,64,64,64,0.01,0.001255082432180643,2,0.0012800636468455195,2
51,512,64,64,0.0001,0.0010438647586852312,2,0.001210113288834691,2
5,32,16,32,0.01,0.0016370397061109543,2,0.0014997405232861638,1
32,512,16,32,0.01,0.0011071943445131183,2,0.0011248355731368065,2
37,512,32,16,0.001,0.001059125061146915,2,0.0010807012440636754,2
23,64,64,32,0.01,0.00122641131747514,2,0.0012243014061823487,2
7,128,16,64,0.001,0.0009728394798003137,2,0.0010425089858472347,1
6,64,16,64,0.0001,0.001010155538097024,2,0.001176867401227355,2
21,64,64,32,0.0001,0.0009606582461856306,2,0.001012610737234354,2
8,128,16,64,0.01,0.0011464748531579971,2,0.001169330207630992,1
18,128,64,16,0.0001,0.0010999903315678239,2,0.001208809670060873,1
40,512,32,32,0.001,0.0010019612964242697,2,0.0010487366234883666,2
49,512,64,32,0.001,0.0009014079696498811,2,0.0010727732442319393,1
10,32,32,16,0.001,0.0009759935783222318,2,0.0010981367668136954,1
1,64,16,16,0.001,0.0010827942751348019,2,0.0011818354250863194,1
36,512,32,16,0.0001,0.0013319533318281174,2,0.0012891334481537342,2
6,128,16,64,0.0001,0.0011155098909512162,2,0.0011254486162215471,2
12,64,32,32,0.0001,0.001001481432467699,2,0.0010860970942303538,2
11,32,32,16,0.01,0.0014474315103143454,2,0.001492460840381682,1
23,128,64,32,0.01,0.0011748154647648335,2,0.001241008285433054,1
3,128,16,32,0.0001,0.001196961966343224,2,0.0013103425735607743,1
14,32,32,32,0.01,0.0014591814251616597,2,0.0013475653249770403,2
17,64,32,64,0.01,0.001290530664846301,2,0.0013774923281744123,1
44,512,32,64,0.01,0.0010407917434349656,2,0.001177762751467526,1
13,32,32,32,0.001,0.000928629597183317,2,0.0010964339599013329,1
20,128,64,16,0.01,0.0011590189533308148,2,0.0011920457473024726,2
12,32,32,32,0.0001,0.00097742211073637,2,0.0010981591185554862,2
16,128,32,64,0.001,0.0008752711582928896,2,0.0009390328195877373,1
8,32,16,64,0.01,0.0016039896290749311,1,0.0014369678683578968,1
27,512,16,16,0.0001,0.0013032350689172745,2,0.001364295370876789,2
26,32,64,64,0.01,0.0013013468123972416,2,0.0013252588687464595,2
21,128,64,32,0.0001,0.001019918592646718,2,0.0011360053904354572,2
5,64,16,32,0.01,0.0013084844686090946,2,0.0014924082206562161,1
4,128,16,32,0.001,0.0009960633469745517,2,0.0012051111552864313,2
15,128,32,64,0.0001,0.001052884035743773,2,0.0010940578067675233,2
5,128,16,32,0.01,0.0011324433144181967,2,0.0011926157167181373,2
28,512,16,16,0.001,0.0011320007033646107,2,0.00119908363558352,2
4,64,16,32,0.001,0.0009851503418758512,2,0.0010566924465820193,2
23,32,64,32,0.01,0.0016153366304934025,2,0.0015681895893067122,2
26,128,64,64,0.01,0.0010910166893154383,2,0.0014040004462003708,1
38,512,32,16,0.01,0.0011231100652366877,2,0.0011267542140558362,1
1,128,16,16,0.001,0.001044553704559803,2,0.0010994590120390058,1
20,64,64,16,0.01,0.001271798275411129,2,0.0014187785563990474,1
0,32,16,16,0.0001,0.001254727249033749,2,0.0012284351978451014,2
25,32,64,64,0.001,0.0008815178880468011,2,0.0009898750577121973,2
19,32,64,16,0.001,0.0009181821369566023,2,0.0010112401796504855,2
41,512,32,32,0.01,0.0010121556697413325,2,0.0010986599372699857,1
22,64,64,32,0.001,0.0008803354576230049,2,0.0009759076638147235,2
2,32,16,16,0.01,0.0018093511462211609,1,0.001644545467570424,1
53,512,64,64,0.01,0.0009555690921843052,2,0.0010857366723939776,2
12,128,32,32,0.0001,0.0011226828210055828,2,0.0011099359253421426,2
2,128,16,16,0.01,0.0011719200992956758,2,0.0011300116311758757,1
42,512,32,64,0.0001,0.0010603305418044329,2,0.0011458611115813255,2
34,512,16,64,0.001,0.0009778388775885105,2,0.0010631639743223786,2
